age,country_citizenship,country_residence,marital_status,dependents,education_level,field_of_study,eca_done,total_work_exp,relevant_work_exp,current_employment_status,teer_category,job_offer,employer_sponsorship,offered_salary_cad,english_test,language_overall_score,french_proficiency,annual_income_cad,settlement_funds_cad,outstanding_debt_cad,financial_sponsor,previous_canada_visa,previous_visa_refusal,previous_immigration_violation,previous_canada_work,previous_canada_study,criminal_record,medical_flag,visa_outcome
39,France,China,Married,4,High School,Engineering,0,6,1,Employed,TEER 1,1,1,97700,IELTS,7.0,No French,51722,18274,4450,Family,1,0,0,0,0,0,1,0
45,USA,UAE,Married,1,Bachelor's,Business,0,8,1,Unemployed,TEER 3,1,1,96418,IELTS,8.3,No French,19570,89979,1984,Family,1,0,0,0,0,0,0,1
19,Vietnam,Brazil,Married,3,Master's,Business,1,0,0,Employed,TEER 2,1,1,93923,IELTS,9.3,No French,42561,3820,3585,Self,0,0,0,0,0,0,0,1
59,Philippines,Nigeria,Married,0,Master's,Engineering,1,6,0,Employed,TEER 1,0,0,0,IELTS,6.1,No French,42777,13210,2405,Employer,1,0,0,0,0,0,0,0
23,UK,UAE,Single,0,Bachelor's,Information Technology,1,3,1,Self-employed,TEER 0,0,0,0,IELTS,9.0,No French,38696,19648,777,Self,0,0,0,1,0,0,0,1
45,Nigeria,UAE,Married,1,Bachelor's,Information Technology,1,9,7,Employed,TEER 3,1,1,52452,IELTS,7.2,No French,52699,3036,6574,Self,1,0,0,0,0,0,0,1
45,Nigeria,China,Single,0,High School,Business,1,5,1,Self-employed,TEER 1,0,0,0,CELPIP,8.4,No French,24859,60347,219,Employer,0,0,0,0,0,1,0,0
61,Brazil,China,Married,0,Bachelor's,Computer Science,1,7,2,Employed,TEER 3,1,1,72260,IELTS,6.7,No French,27325,11430,27139,Self,0,1,0,0,0,0,0,0
61,Pakistan,Canada,Single,1,Master's,Computer Science,0,2,1,Employed,TEER 1,1,1,115051,Other,6.8,No French,53757,10450,3340,Self,0,0,0,0,0,0,0,1
37,Vietnam,Philippines,Married,1,Diploma,Business,1,4,0,Employed,TEER 2,0,0,0,IELTS,5.6,No French,71840,45915,9503,Self,0,0,0,0,1,0,0,0
47,UK,UAE,Single,0,Bachelor's,Engineering,0,4,4,Employed,TEER 0,0,0,0,IELTS,9.4,No French,44543,11142,13301,Self,0,0,0,1,0,0,0,1
28,Nigeria,UK,Single,0,Master's,Computer Science,1,7,6,Employed,TEER 2,0,0,0,IELTS,8.8,No French,55073,29796,2618,Self,0,0,0,0,0,0,0,1
45,Nigeria,UAE,Single,0,Master's,Information Technology,1,3,1,Employed,TEER 1,0,0,0,IELTS,5.9,No French,60161,46079,11050,Self,1,0,0,1,0,0,0,1
42,UK,Canada,Single,0,Diploma,Finance,1,4,4,Employed,TEER 1,1,1,82286,No Test,4.5,No French,61610,42312,14290,Self,0,1,1,0,1,0,0,0
56,India,USA,Married,0,Bachelor's,Business,1,3,0,Employed,TEER 0,1,1,62664,IELTS,7.9,No French,25929,41075,2209,Employer,0,0,0,0,0,0,0,1
50,India,India,Married,0,Diploma,Healthcare,0,3,1,Employed,TEER 0,1,1,76408,IELTS,8.9,No French,29459,5320,39137,Self,0,0,0,0,1,0,0,1
18,Philippines,Nigeria,Married,0,Diploma,Engineering,0,0,0,Employed,TEER 0,0,0,0,Other,5.8,No French,31198,5080,167,Family,0,0,0,0,0,0,0,0
44,Philippines,Philippines,Single,3,Master's,Engineering,1,10,3,Employed,TEER 1,1,0,62576,IELTS,7.1,No French,83572,12159,1956,Self,1,0,0,0,0,0,1,0
30,Philippines,Brazil,Single,1,Master's,Other,1,3,2,Employed,TEER 3,1,0,88711,IELTS,8.2,No French,55163,3915,12113,Self,1,0,0,0,0,0,0,1
58,India,Brazil,Single,2,Master's,Other,1,2,2,Unemployed,TEER 1,0,0,0,IELTS,5.9,Basic,54266,20350,1726,Self,1,0,0,0,0,0,1,0
20,India,Brazil,Single,0,High School,Computer Science,0,0,0,Employed,TEER 2,0,0,0,IELTS,7.5,No French,52324,15554,9585,Family,0,0,0,1,0,0,0,0
56,India,China,Common-Law,0,Master's,Business,1,4,2,Employed,TEER 0,0,0,0,IELTS,7.3,Advanced,18584,23356,15477,Family,0,0,0,1,0,0,0,1
23,Vietnam,Brazil,Single,0,Bachelor's,Computer Science,1,3,0,Self-employed,TEER 1,1,1,66913,IELTS,6.4,No French,83763,11873,25595,Self,0,0,0,0,0,0,0,1
25,Nigeria,Nigeria,Single,0,Bachelor's,Computer Science,1,2,1,Employed,TEER 1,1,1,106855,CELPIP,6.7,Basic,54583,19626,5143,Employer,1,0,0,1,0,0,0,1
44,Philippines,India,Single,0,Bachelor's,Healthcare,1,4,4,Employed,TEER 4/5,1,1,59389,Other,9.4,No French,59463,13189,28353,Employer,1,0,0,0,0,0,0,1
26,Brazil,Brazil,Single,2,High School,Engineering,1,6,0,Employed,TEER 3,0,0,0,IELTS,6.7,Basic,9689,8429,4243,Self,0,0,0,0,0,0,0,0
54,India,UAE,Married,1,Master's,Finance,1,10,8,Unemployed,TEER 1,1,0,82266,IELTS,6.4,No French,60592,29200,1968,Family,0,0,0,0,0,0,0,1
50,France,UAE,Married,1,Bachelor's,Computer Science,0,5,3,Employed,TEER 2,0,0,0,IELTS,7.6,No French,37875,30978,5771,Self,0,0,0,0,0,0,0,0
59,USA,China,Single,0,Diploma,Engineering,1,2,0,Unemployed,TEER 0,0,0,0,IELTS,8.2,No French,18544,47186,8394,Self,0,0,0,0,0,0,0,0
61,India,Nigeria,Single,3,Diploma,Finance,1,3,1,Self-employed,TEER 1,1,1,74424,IELTS,8.4,Advanced,25924,54936,4899,Self,0,0,0,0,0,0,0,1
41,Nigeria,India,Single,0,Diploma,Finance,1,7,0,Employed,TEER 0,1,1,85374,CELPIP,8.5,Advanced,19702,33473,6695,Other,0,0,0,1,0,0,0,1
32,Pakistan,Philippines,Single,0,High School,Computer Science,0,6,4,Employed,TEER 1,0,0,0,CELPIP,5.6,No French,19364,32078,4308,Self,0,0,0,0,0,0,0,1
49,France,Canada,Single,0,Bachelor's,Information Technology,0,4,0,Employed,TEER 0,0,0,0,IELTS,7.1,No French,46210,4458,5951,Employer,0,0,0,0,0,0,0,0
49,Nigeria,India,Divorced,2,Master's,Healthcare,0,2,1,Employed,TEER 2,0,0,0,CELPIP,8.6,No French,37264,5907,24392,Family,0,1,0,0,0,0,0,0
41,China,Canada,Married,4,High School,Computer Science,0,7,3,Employed,TEER 1,1,1,74455,IELTS,9.1,No French,51681,44857,5542,Self,0,0,0,0,0,0,0,1
58,India,USA,Married,0,High School,Other,1,6,4,Unemployed,TEER 2,1,1,122528,IELTS,7.9,No French,78519,9630,2335,Self,1,0,0,0,0,0,0,1
29,Vietnam,Canada,Single,2,Bachelor's,Finance,1,7,5,Employed,TEER 1,0,0,0,IELTS,5.7,Advanced,42409,13984,11375,Family,0,0,0,0,0,0,1,0
56,India,UK,Single,2,Master's,Computer Science,1,7,3,Employed,TEER 0,0,0,0,IELTS,7.1,No French,8000,6925,3294,Self,0,1,0,0,0,0,0,0
19,France,UAE,Married,0,Bachelor's,Computer Science,1,0,0,Employed,TEER 2,1,0,63791,CELPIP,5.8,No French,40160,8427,13551,Self,0,0,0,1,0,0,1,0
20,Brazil,Nigeria,Married,0,Bachelor's,Computer Science,1,0,0,Employed,TEER 3,1,0,40010,IELTS,8.5,No French,68867,40337,468,Family,0,0,0,1,0,0,0,1
54,China,Germany,Married,0,Bachelor's,Finance,1,4,1,Employed,TEER 3,0,0,0,IELTS,5.8,No French,43281,10590,3229,Employer,1,0,0,1,0,0,0,0
34,Nigeria,China,Single,4,Diploma,Computer Science,1,5,2,Employed,TEER 1,1,1,26342,No Test,4.8,No French,75586,17902,792,Family,0,0,0,0,0,1,0,0
19,India,UK,Married,0,High School,Engineering,1,0,0,Employed,TEER 2,0,0,0,IELTS,7.2,No French,54058,7112,713,Self,0,1,0,1,0,0,0,0
19,India,Canada,Single,2,Bachelor's,Engineering,1,0,0,Employed,TEER 2,1,1,73493,IELTS,7.4,No French,8234,31324,8592,Self,0,0,0,0,0,0,0,1
45,India,Brazil,Common-Law,0,Bachelor's,Engineering,1,7,0,Unemployed,TEER 0,0,0,0,IELTS,7.1,No French,47191,35573,3893,Other,0,0,0,0,0,1,0,0
40,India,Nigeria,Married,2,Bachelor's,Computer Science,1,5,0,Employed,TEER 0,0,0,0,IELTS,7.4,No French,50940,14223,16413,Employer,0,0,0,0,0,0,0,0
54,USA,UK,Married,0,Bachelor's,Information Technology,0,6,4,Employed,TEER 0,1,1,58175,No Test,4.0,No French,66607,41398,5812,Self,1,1,1,0,0,0,0,0
49,Philippines,China,Single,1,Bachelor's,Finance,1,4,1,Employed,TEER 1,0,0,0,IELTS,7.0,Intermediate,81392,9857,2800,Employer,1,0,0,0,0,0,0,1
50,India,UAE,Married,2,Diploma,Finance,1,9,1,Employed,TEER 1,0,0,0,No Test,4.2,No French,63154,32433,10209,Self,0,1,0,1,0,0,0,0
18,Vietnam,Nigeria,Single,2,Bachelor's,Business,1,0,0,Employed,TEER 4/5,0,0,0,IELTS,6.7,Basic,53809,35730,7825,Self,0,0,0,0,0,0,0,1
36,Pakistan,China,Single,2,Diploma,Computer Science,1,6,1,Employed,TEER 1,1,1,76218,IELTS,6.9,No French,58523,89569,12859,Self,1,0,0,1,0,0,0,1
19,France,USA,Single,0,Diploma,Information Technology,1,0,0,Self-employed,TEER 2,0,0,0,IELTS,8.0,No French,41639,9609,8253,Self,0,0,0,0,0,0,0,0
61,Vietnam,USA,Married,1,Bachelor's,Healthcare,1,3,0,Employed,TEER 2,0,0,0,CELPIP,7.5,No French,15742,5459,1461,Employer,0,1,0,0,0,0,0,0
43,India,China,Single,0,Master's,Information Technology,1,6,3,Self-employed,TEER 0,1,0,26927,IELTS,8.4,No French,45829,10630,8876,Self,1,0,0,0,0,0,0,1
49,Philippines,UK,Single,0,PhD,Finance,1,7,0,Employed,TEER 0,0,0,0,Other,7.7,Basic,52305,6277,3974,Self,1,1,0,0,0,0,0,0
23,UK,Nigeria,Common-Law,1,Bachelor's,Healthcare,0,3,0,Unemployed,TEER 1,1,1,64792,IELTS,8.7,No French,20926,7649,4976,Employer,0,0,0,1,0,0,0,1
49,Brazil,UK,Single,0,Diploma,Computer Science,1,9,0,Employed,TEER 2,1,0,100358,IELTS,7.3,No French,71532,13165,20363,Employer,1,0,0,0,0,0,0,0
21,India,Philippines,Married,1,Diploma,Finance,1,1,0,Employed,TEER 4/5,1,1,116616,IELTS,7.5,No French,65108,16360,3569,Self,1,0,0,0,0,0,0,1
28,USA,Canada,Single,4,Master's,Other,1,4,3,Employed,TEER 1,1,1,70716,CELPIP,8.2,No French,17564,61513,7573,Family,1,1,0,1,0,0,1,1
34,India,Philippines,Single,0,Bachelor's,Computer Science,1,3,2,Self-employed,TEER 3,0,0,0,IELTS,6.4,No French,72316,8441,3613,Family,1,0,0,0,0,0,0,1
55,India,USA,Married,1,Bachelor's,Engineering,1,7,4,Self-employed,TEER 1,0,0,0,IELTS,7.0,No French,38833,92174,796,Family,0,0,0,1,0,0,0,1
41,China,UAE,Single,0,Master's,Information Technology,0,4,2,Employed,TEER 2,1,1,56745,IELTS,8.0,No French,29430,44538,4834,Family,0,0,0,0,0,0,0,1
22,China,India,Married,0,Bachelor's,Information Technology,1,2,2,Employed,TEER 1,0,0,0,CELPIP,5.6,No French,66585,56315,7271,Self,0,0,0,0,0,0,0,0
51,China,Canada,Married,0,Master's,Computer Science,1,8,8,Employed,TEER 0,1,0,89457,CELPIP,7.2,No French,43978,69283,4187,Self,0,1,0,1,0,0,0,1
23,India,USA,Married,3,High School,Engineering,0,1,1,Unemployed,TEER 0,0,0,0,CELPIP,7.9,No French,82983,37983,3963,Employer,0,0,0,0,0,0,0,0
39,Pakistan,UK,Married,2,Bachelor's,Other,1,5,2,Unemployed,TEER 0,1,1,93117,IELTS,9.4,No French,27942,41871,13735,Employer,0,0,0,0,0,0,0,1
28,Philippines,UK,Single,3,Master's,Engineering,1,4,0,Unemployed,TEER 1,1,1,84032,No Test,5.1,No French,10366,17398,241,Self,0,0,0,0,0,0,0,1
33,India,UK,Single,4,Diploma,Computer Science,1,3,0,Self-employed,TEER 2,1,1,76477,CELPIP,6.6,No French,39391,20856,2803,Self,0,0,0,0,0,0,0,1
50,Pakistan,UAE,Married,0,Bachelor's,Healthcare,1,2,0,Self-employed,TEER 0,0,0,0,IELTS,7.5,No French,60784,70385,13360,Employer,0,0,0,0,0,0,0,1
26,France,Philippines,Married,0,Bachelor's,Information Technology,1,6,1,Employed,TEER 2,1,0,72048,IELTS,5.7,No French,26457,14880,20259,Self,0,0,0,0,0,0,0,1
23,Pakistan,India,Married,1,PhD,Business,1,3,0,Self-employed,TEER 1,1,1,91711,IELTS,6.5,Intermediate,18397,4071,4252,Self,0,1,0,1,0,0,0,1
33,USA,UK,Married,0,High School,Engineering,0,3,2,Employed,TEER 2,1,0,75299,IELTS,8.6,No French,49578,38966,17570,Self,1,1,0,0,0,0,0,1
46,Brazil,Germany,Married,0,Bachelor's,Computer Science,1,4,2,Unemployed,TEER 2,1,1,97851,Other,6.0,No French,15726,24283,1774,Self,0,0,0,0,0,0,0,1
20,China,Canada,Married,0,Diploma,Computer Science,1,0,0,Employed,TEER 2,0,0,0,CELPIP,6.5,Basic,51133,45168,2002,Self,1,0,0,0,0,0,0,0
37,India,Nigeria,Single,1,Bachelor's,Business,0,3,0,Employed,TEER 1,1,1,58681,Other,9.3,No French,38187,4963,14976,Self,1,1,1,1,1,0,0,1
53,Nigeria,Germany,Married,1,Diploma,Information Technology,0,3,1,Employed,TEER 1,0,0,0,IELTS,8.8,No French,54889,27270,18685,Self,0,1,0,0,0,0,0,0
36,Philippines,India,Married,0,Diploma,Business,1,4,2,Employed,TEER 2,1,0,74542,IELTS,8.6,No French,17323,10115,2016,Other,0,0,0,0,1,0,0,1
43,Philippines,UAE,Single,0,Bachelor's,Computer Science,1,3,1,Employed,TEER 0,0,0,0,IELTS,9.0,Basic,70963,61395,489,Employer,0,0,0,0,0,0,0,1
20,UK,India,Married,1,Master's,Information Technology,1,0,0,Employed,TEER 1,1,1,85399,IELTS,8.5,Basic,41339,5910,757,Employer,0,0,0,0,0,1,0,1
36,Nigeria,Nigeria,Common-Law,1,Diploma,Engineering,0,6,3,Employed,TEER 0,0,0,0,CELPIP,6.0,No French,60270,49298,2423,Employer,0,0,0,0,1,0,0,1
37,India,Canada,Married,0,Diploma,Finance,1,4,1,Employed,TEER 2,1,1,64461,IELTS,7.6,No French,64197,5318,11465,Family,0,1,0,0,0,0,0,1
49,India,Nigeria,Single,2,Master's,Finance,1,3,3,Employed,TEER 2,0,0,0,CELPIP,7.3,No French,21851,3635,5706,Self,0,0,0,0,0,0,0,0
24,Brazil,China,Single,0,Bachelor's,Computer Science,1,4,4,Employed,TEER 2,0,0,0,CELPIP,6.7,No French,62645,9698,4864,Self,0,0,0,0,0,0,0,1
58,India,Canada,Married,0,Master's,Information Technology,1,2,1,Unemployed,TEER 1,0,0,0,CELPIP,8.8,No French,16498,13125,7019,Self,0,0,0,0,0,0,0,0
50,Pakistan,India,Common-Law,2,Diploma,Computer Science,1,3,1,Employed,TEER 0,1,1,78388,IELTS,7.4,No French,17597,27622,17674,Self,0,0,0,1,0,0,0,1
57,Nigeria,UK,Single,1,Bachelor's,Engineering,1,7,1,Employed,TEER 3,0,0,0,CELPIP,5.7,No French,84279,6531,758,Self,0,0,0,0,0,0,0,0
56,Nigeria,India,Single,0,Diploma,Engineering,1,3,0,Employed,TEER 1,0,0,0,No Test,4.5,Basic,67237,17376,9492,Other,0,0,0,0,1,0,0,0
35,China,India,Common-Law,1,Diploma,Finance,1,7,4,Employed,TEER 1,1,0,91044,Other,6.4,No French,86473,8712,20915,Self,0,0,0,0,1,0,0,1
57,USA,Canada,Single,1,Bachelor's,Finance,1,5,5,Employed,TEER 1,1,1,61450,CELPIP,9.0,No French,37595,51327,1919,Self,0,0,0,0,0,0,0,1
18,Philippines,China,Married,2,Bachelor's,Information Technology,1,0,0,Employed,TEER 0,1,1,100581,CELPIP,8.1,Basic,47048,4150,14550,Family,0,0,0,0,1,1,0,0
28,Brazil,India,Divorced,2,Master's,Engineering,1,8,6,Employed,TEER 0,1,1,128998,IELTS,7.7,Intermediate,55547,13998,9579,Self,0,0,0,0,1,0,0,1
45,China,Germany,Single,1,Bachelor's,Finance,1,4,2,Employed,TEER 1,0,0,0,CELPIP,7.5,No French,44756,27949,116,Employer,0,0,0,0,0,0,0,0
42,Philippines,USA,Married,0,Bachelor's,Business,1,3,3,Employed,TEER 0,0,0,0,CELPIP,8.1,No French,30077,64071,2107,Self,0,0,0,0,0,0,0,1
40,Pakistan,Brazil,Single,0,Bachelor's,Computer Science,1,1,0,Employed,TEER 0,1,1,81861,CELPIP,8.5,No French,27078,53622,7448,Self,0,1,0,0,0,0,0,1
48,USA,Brazil,Single,0,PhD,Information Technology,1,2,1,Employed,TEER 3,0,0,0,CELPIP,7.7,Basic,49277,59390,5583,Employer,1,0,0,1,1,0,0,1
47,Brazil,India,Married,0,Diploma,Engineering,0,6,6,Unemployed,TEER 1,1,1,75989,IELTS,9.3,No French,23662,4622,6005,Family,0,0,0,0,1,0,0,1
59,Pakistan,Germany,Single,1,Diploma,Information Technology,1,10,3,Employed,TEER 1,0,0,0,IELTS,9.4,No French,23102,48959,2110,Self,0,0,0,0,0,0,0,1
52,Pakistan,UK,Divorced,1,Bachelor's,Computer Science,1,6,1,Employed,TEER 2,0,0,0,IELTS,9.5,No French,52871,40843,8991,Self,0,0,0,0,1,0,0,0
24,UK,UAE,Married,0,Bachelor's,Computer Science,1,4,4,Employed,TEER 4/5,0,0,0,IELTS,8.2,No French,43096,61180,2478,Family,1,1,0,0,1,0,0,1
33,USA,UAE,Single,0,Diploma,Healthcare,1,2,2,Employed,TEER 0,0,0,0,IELTS,9.2,Basic,63744,12333,3946,Self,1,0,0,1,0,0,0,1
43,Brazil,Canada,Single,0,Master's,Information Technology,1,4,4,Employed,TEER 3,1,1,91359,IELTS,7.1,No French,36501,63693,3682,Employer,0,0,0,0,1,0,0,1
19,Brazil,Brazil,Single,0,Diploma,Computer Science,0,0,0,Employed,TEER 1,1,0,103623,IELTS,8.9,No French,33374,15880,8918,Other,0,0,0,0,0,0,0,1
18,China,India,Single,2,Master's,Information Technology,1,0,0,Employed,TEER 0,1,1,83285,CELPIP,9.1,No French,53471,28134,756,Self,0,1,0,0,0,0,0,1
29,UK,UAE,Single,0,Diploma,Business,1,5,5,Employed,TEER 1,1,0,77385,IELTS,9.1,No French,28759,16798,1840,Family,0,0,0,1,0,0,0,1
22,India,India,Single,1,Bachelor's,Business,1,2,0,Employed,TEER 1,0,0,0,IELTS,8.8,No French,31837,16950,1790,Employer,0,0,0,1,1,0,0,1
54,Pakistan,Canada,Married,3,Master's,Engineering,1,1,1,Employed,TEER 2,1,1,59165,IELTS,7.1,Basic,32630,22776,918,Self,1,0,0,1,0,0,0,1
49,Pakistan,Brazil,Married,0,Diploma,Engineering,1,7,0,Employed,TEER 0,0,0,0,IELTS,6.1,Advanced,40805,13998,1861,Other,0,1,0,1,0,0,0,0
26,India,Nigeria,Married,0,PhD,Other,1,6,4,Self-employed,TEER 1,0,0,0,IELTS,6.8,No French,80448,42344,7472,Family,1,0,1,0,0,0,0,1
58,USA,USA,Married,0,Bachelor's,Computer Science,1,4,4,Employed,TEER 2,1,1,67178,IELTS,8.6,No French,17464,28103,10539,Self,0,0,0,0,0,0,0,1
52,India,USA,Single,1,Master's,Computer Science,1,4,1,Employed,TEER 1,1,1,60326,No Test,5.0,Advanced,70910,32259,8637,Family,0,0,0,0,0,0,0,1
36,Philippines,UAE,Single,1,Bachelor's,Information Technology,1,4,2,Employed,TEER 3,1,0,118270,IELTS,7.4,No French,59755,9567,5157,Self,0,1,0,1,0,0,0,1
33,UK,USA,Married,0,Bachelor's,Computer Science,0,9,1,Employed,TEER 3,0,0,0,CELPIP,7.8,Intermediate,76339,90312,430,Self,0,0,0,0,0,0,0,1
20,India,Nigeria,Married,1,Diploma,Information Technology,1,0,0,Employed,TEER 1,0,0,0,Other,7.9,No French,107733,29983,25554,Family,0,1,0,1,0,0,0,0
37,USA,India,Single,2,Bachelor's,Finance,1,3,1,Employed,TEER 4/5,1,1,80017,No Test,4.8,No French,73629,8491,1472,Self,0,0,0,0,0,0,0,1
41,USA,Canada,Married,0,High School,Healthcare,0,4,1,Self-employed,TEER 0,1,1,73867,IELTS,8.1,No French,63513,37706,8831,Family,1,0,0,0,0,0,0,1
50,Nigeria,Nigeria,Married,0,Diploma,Engineering,1,3,3,Employed,TEER 0,1,1,102364,IELTS,8.6,Basic,18750,7770,19524,Self,0,0,0,0,0,0,0,1
41,India,Canada,Married,2,Diploma,Finance,1,3,1,Employed,TEER 1,0,0,0,IELTS,7.8,Intermediate,21275,4637,9572,Self,1,0,0,0,1,0,0,0
28,Philippines,Canada,Single,1,Bachelor's,Computer Science,1,8,1,Employed,TEER 2,1,1,38900,IELTS,8.8,No French,52203,21745,1967,Family,0,0,0,0,0,0,0,1
25,China,Brazil,Married,2,Master's,Computer Science,1,5,2,Self-employed,TEER 2,1,1,88472,IELTS,6.6,No French,11038,23159,3035,Other,1,0,0,0,0,0,0,1
53,Vietnam,India,Married,1,Diploma,Engineering,1,4,4,Employed,TEER 1,0,0,0,CELPIP,6.3,No French,57308,8236,245,Employer,1,0,0,0,1,0,0,0
55,Brazil,Germany,Married,2,Diploma,Healthcare,1,2,2,Employed,TEER 0,0,0,0,IELTS,9.2,No French,8000,13707,7589,Employer,0,0,0,0,0,0,0,0
57,Philippines,USA,Married,0,Bachelor's,Computer Science,1,3,2,Employed,TEER 0,0,0,0,IELTS,8.3,No French,68044,75862,7594,Self,1,0,0,0,0,0,0,1
37,Brazil,Germany,Married,2,Diploma,Engineering,1,4,4,Employed,TEER 3,1,1,59886,IELTS,8.2,No French,38565,11386,10342,Employer,1,0,0,0,0,0,0,1
52,China,Brazil,Married,3,High School,Healthcare,1,2,0,Employed,TEER 3,0,0,0,No Test,4.8,No French,47531,7227,88,Self,0,0,0,0,1,0,0,0
42,USA,Canada,Single,1,Diploma,Healthcare,1,7,1,Self-employed,TEER 2,0,0,0,CELPIP,7.0,No French,30032,125528,13623,Self,0,0,0,0,0,0,0,0
52,India,UAE,Married,0,Master's,Healthcare,1,2,1,Employed,TEER 2,1,1,89552,IELTS,7.7,No French,8000,11999,10737,Self,1,0,0,0,1,0,1,1
42,UK,USA,Married,0,Master's,Information Technology,1,11,11,Employed,TEER 1,0,0,0,IELTS,6.0,No French,69693,31505,1214,Employer,0,0,0,0,0,0,0,1
46,China,USA,Married,0,Bachelor's,Computer Science,1,5,0,Self-employed,TEER 0,1,0,52739,IELTS,7.3,No French,71714,9584,3417,Self,0,0,0,0,0,0,0,1
35,Vietnam,India,Single,0,Bachelor's,Engineering,1,5,2,Employed,TEER 1,1,1,118452,CELPIP,7.3,Intermediate,37970,22969,8140,Self,0,0,0,0,0,0,0,1
35,Philippines,China,Single,0,Bachelor's,Computer Science,1,4,3,Employed,TEER 2,0,0,0,CELPIP,7.7,No French,58238,15205,5478,Self,0,1,0,0,0,0,0,0
19,Brazil,Philippines,Common-Law,1,Bachelor's,Finance,1,0,0,Employed,TEER 1,1,1,58742,CELPIP,8.0,No French,37182,84478,978,Self,1,1,0,0,0,0,0,1
52,France,Philippines,Married,1,Bachelor's,Engineering,1,4,3,Employed,TEER 0,0,0,0,IELTS,9.3,No French,50769,17176,731,Employer,0,0,0,0,1,0,0,1
33,India,Philippines,Common-Law,0,Bachelor's,Information Technology,1,3,2,Employed,TEER 4/5,1,1,115637,CELPIP,8.1,Intermediate,60182,24937,12166,Self,1,0,0,1,0,0,0,1
58,France,China,Married,1,Diploma,Business,1,5,5,Employed,TEER 3,1,0,105124,CELPIP,9.0,No French,56101,75404,1356,Self,1,0,0,0,0,0,0,1
53,Brazil,India,Married,0,High School,Engineering,0,9,6,Unemployed,TEER 1,0,0,0,No Test,4.7,No French,71819,116284,1510,Self,0,0,0,0,0,0,0,0
50,India,China,Married,0,Bachelor's,Information Technology,1,5,2,Self-employed,TEER 2,0,0,0,IELTS,8.0,Intermediate,55377,5680,14219,Self,0,0,0,0,0,0,0,0
21,Philippines,Philippines,Common-Law,0,Master's,Business,1,1,0,Employed,TEER 3,1,1,143938,IELTS,5.8,No French,45561,47942,7576,Self,0,1,0,0,0,0,0,1
50,UK,Brazil,Married,1,Bachelor's,Business,1,6,6,Employed,TEER 0,0,0,0,IELTS,6.0,No French,29771,15036,7425,Self,0,0,1,0,1,0,0,0
31,India,Nigeria,Married,0,Master's,Healthcare,1,7,7,Employed,TEER 1,1,1,64081,IELTS,7.8,No French,35429,25586,5221,Self,0,0,0,0,0,0,0,1
38,China,Canada,Single,0,PhD,Computer Science,1,5,0,Employed,TEER 1,0,0,0,CELPIP,7.1,Basic,61201,14752,6733,Self,1,0,0,0,0,0,0,1
37,Philippines,China,Married,0,Diploma,Engineering,0,7,7,Employed,TEER 1,1,0,83424,CELPIP,8.7,No French,14963,15817,7365,Employer,1,1,0,0,0,0,0,1
25,Brazil,India,Married,2,Bachelor's,Business,1,5,5,Employed,TEER 3,0,0,0,IELTS,7.7,No French,67116,7324,27492,Other,0,0,0,1,0,0,0,1
24,India,India,Single,0,Bachelor's,Computer Science,1,4,1,Employed,TEER 1,1,1,87715,IELTS,9.0,No French,39377,24260,2018,Self,1,0,0,0,0,0,0,1
20,Pakistan,Germany,Single,1,PhD,Information Technology,1,0,0,Self-employed,TEER 0,0,0,0,IELTS,9.4,No French,28627,22780,1932,Self,0,0,0,1,1,0,0,1
34,Vietnam,Nigeria,Single,1,PhD,Finance,1,3,0,Employed,TEER 0,0,0,0,Other,6.1,Intermediate,23025,8248,471,Family,0,0,0,0,0,0,0,1
50,Vietnam,UAE,Single,2,Bachelor's,Computer Science,1,4,0,Employed,TEER 0,1,1,94681,IELTS,7.1,No French,58487,22507,8588,Self,0,0,0,0,1,0,0,1
29,UK,USA,Single,3,Diploma,Business,0,4,1,Employed,TEER 1,0,0,0,IELTS,8.2,No French,44707,93392,6371,Self,0,0,0,0,1,0,0,1
39,India,Philippines,Single,0,Master's,Engineering,1,3,0,Employed,TEER 2,1,0,97869,IELTS,6.7,Intermediate,76775,34329,943,Self,0,0,0,0,0,0,0,1
39,UK,UAE,Common-Law,0,Diploma,Engineering,1,7,5,Self-employed,TEER 0,1,1,33736,IELTS,6.6,No French,19738,19395,3627,Employer,0,0,0,1,0,0,0,1
47,India,Germany,Married,2,Master's,Computer Science,1,7,5,Unemployed,TEER 2,0,0,0,CELPIP,8.8,No French,33436,64948,1574,Family,1,0,0,1,0,0,0,1
55,India,Philippines,Single,0,Master's,Business,0,3,1,Employed,TEER 2,1,1,67022,Other,9.4,No French,43155,24410,3221,Self,1,0,0,0,0,0,0,1
55,Philippines,Nigeria,Single,1,Bachelor's,Information Technology,1,7,3,Employed,TEER 1,1,1,84311,IELTS,8.6,No French,29962,6627,24170,Self,0,0,0,1,1,0,0,1
25,Nigeria,Germany,Married,1,Bachelor's,Engineering,1,5,3,Employed,TEER 2,1,1,107155,CELPIP,7.6,No French,45122,22824,9198,Self,1,0,0,1,1,0,0,1
44,USA,Philippines,Single,1,Bachelor's,Healthcare,1,3,1,Employed,TEER 2,0,0,0,IELTS,7.3,No French,51390,7990,60,Self,0,0,0,0,1,0,0,0
44,Brazil,Nigeria,Married,3,Bachelor's,Healthcare,1,4,1,Employed,TEER 1,1,0,72575,No Test,5.4,No French,54689,39472,2328,Self,1,0,0,0,0,0,0,1
